,path,label,bug_issue,hours_to_resolution,avg_hours_to_resolution,num_of_modified_files_issues,number_of_issue_report,bug_commit,number_of_commit_report,complexity,sum_added_lines,sum_deleted_lines,sum_num_lines,num_of_developers
93,ApacheRepos/samza/samza-api/src/main/java/org/apache/samza/table/descriptors/LocalTableDescriptor.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
94,ApacheRepos/samza/samza-core/src/test/java/org/apache/samza/application/descriptors/TestStreamApplicationDescriptorImpl.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
95,ApacheRepos/qpid-broker-j/broker-core/src/main/java/org/apache/qpid/server/filter/selector/SelectorParser.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
96,ApacheRepos/qpid-broker-j/broker-core/src/main/java/org/apache/qpid/server/security/AutoGeneratedSelfSignedKeyStore.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
97,ApacheRepos/qpid-broker-j/broker-plugins/management-http/src/main/java/org/apache/qpid/server/management/plugin/servlet/query/ConfiguredObjectFilterParser.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
98,ApacheRepos/netbeans/contrib/j2ee.jboss4/test/qa-functional/src/org/netbeans/modules/j2ee/jboss4/test/JBoss4TestSuite.java,1,0,0.0,0.0,0,0,0,3,26,174,39,174,3
99,ApacheRepos/netbeans/enterprise/web.debug/test/qa-functional/data/TestTagLibrary/src/org/netbeans/test/taglibrary/handlers/SumBodyTagHandler.java,1,0,0.0,0.0,0,0,0,1,13,160,0,87,1
100,ApacheRepos/netbeans/ide/bugtracking/src/org/netbeans/modules/bugtracking/spi/BugtrackingSupport.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
101,ApacheRepos/netbeans/ide/lexer/gen/antsrc/org/netbeans/lexer/gen/HandcodedGenerateLanguageSource.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
102,ApacheRepos/netbeans/ide/lexer/gen/antsrc/org/netbeans/lexer/gen/JavaCCGenerateLanguageSource.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
103,ApacheRepos/netbeans/ide/lexer/gen/src/org/netbeans/modules/lexer/gen/javacc/JavaCCTokenTypes.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
104,ApacheRepos/netbeans/java/beans/src/org/netbeans/modules/beans/beaninfo/BiAnalyser.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
105,ApacheRepos/netbeans/java/j2ee.persistence/src/org/netbeans/modules/j2ee/persistence/entitygenerator/DbSchemaEntityMember.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
106,ApacheRepos/netbeans/java/j2ee.persistence/src/org/netbeans/modules/j2ee/persistence/entitygenerator/EntityMember.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
107,ApacheRepos/netbeans/java/java.editor/test/qa-functional/src/org/netbeans/test/java/editor/completion/CompletionTestPerformer.java,1,0,0.0,0.0,0,0,0,2,36,251,40,240,2
108,ApacheRepos/netbeans/java/junit/test/qa-functional/data/JunitTestProject/test/org/netbeans/test/junit/testresults/test/ResultTestSuite.java,1,0,0.0,0.0,0,0,0,3,54,252,41,360,3
109,ApacheRepos/netbeans/php/languages.neon/src/org/netbeans/modules/languages/neon/lexer/NeonColoringLexer.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
110,ApacheRepos/netbeans/php/php.editor/src/org/netbeans/modules/php/editor/lexer/DocumentorColoringScanner.java,1,0,0.0,0.0,0,0,0,2,26,174,39,174,2
111,ApacheRepos/netbeans/php/php.editor/src/org/netbeans/modules/php/editor/lexer/PHP5ColoringLexer.java,1,0,0.0,0.0,0,0,1,5,370,312,40,1605,4
